"lemma_redux"	"frequency"	"words"	"relfreq"
"other"	9712	996186	9.75
"bastard"	9	996186	0.01
"fag/faggot"	8	996186	0.01
"boobs"	7	996186	0.01
"prick"	5	996186	0.01
"skeet"	5	996186	0.01
"dyke"	4	996186	0
"slut"	4	996186	0
"crap"	3	996186	0
"hooker"	3	996186	0
"nympho"	3	996186	0
"shag"	3	996186	0
"bimbo"	2	996186	0
"doggystyle"	2	996186	0
"homo"	2	996186	0
"(nut)sack"	1	996186	0
"cunt"	1	996186	0
"dork"	1	996186	0
"fart"	1	996186	0
"honkey"	1	996186	0
"knob"	1	996186	0
"poop"	1	996186	0
"scat"	1	996186	0
