"year_chart"	"songs"	"words"	"vulgar_words"	"vulgar_songs"	"vulgar_rfreq"	"vulgar_by_song"
"2000"	100	38839	238	25	6.1	2.4
"2001"	100	41261	259	32	6.3	2.6
"2002"	100	42501	272	35	6.4	2.7
"2003"	100	45750	398	52	8.7	4
"2004"	100	45766	424	46	9.3	4.2
"2005"	100	43545	421	50	9.7	4.2
"2006"	100	44677	321	41	7.2	3.2
"2007"	100	43493	278	50	6.4	2.8
"2008"	100	40167	210	35	5.2	2.1
"2009"	100	39093	226	41	5.8	2.3
"2010"	100	40384	206	35	5.1	2.1
"2011"	100	41082	272	40	6.6	2.7
"2012"	99	34978	323	35.4	9.2	3.3
"2013"	99	36051	300	32.3	8.3	3
"2014"	100	38773	401	35	10.3	4
"2015"	99	39331	414	41.4	10.5	4.2
"2016"	100	39242	326	43	8.3	3.3
"2017"	99	41708	583	55.6	14	5.9
"2018"	99	43192	632	59.6	14.6	6.4
"2019"	98	38694	688	58.2	17.8	7
"2020"	100	37955	582	55	15.3	5.8
"2021"	100	37250	531	61	14.3	5.3
"2022"	94	33297	304	48.9	9.1	3.2
"2023"	91	32742	491	58.2	15	5.4
"2024"	98	36415	683	56.1	18.8	7
"Total"	2476	996186	9783	44.9	9.9	4
