"lemma_redux"	"frequency"	"words"	"relfreq"	"totalvulgar"
"n-word"	"1992 (20.4%)"	996186	2	9780
"fuck"	"1523 (15.6%)"	996186	1.53	9780
"shit"	"1512 (15.5%)"	996186	1.52	9780
"bitch"	"1459 (14.9%)"	996186	1.46	9780
"ass(hole)"	"670 (6.9%)"	996186	0.67	9780
"hoe"	"548 (5.6%)"	996186	0.55	9780
"(god)damn"	"466 (4.8%)"	996186	0.47	9780
"hell"	"288 (2.9%)"	996186	0.29	9780
"pussy"	"284 (2.9%)"	996186	0.29	9780
"(mother)fuck"	"246 (2.5%)"	996186	0.25	9780
"dick(head)"	"216 (2.2%)"	996186	0.22	9780
"booty"	"124 (1.3%)"	996186	0.12	9780
"bum/butt"	"89 (0.9%)"	996186	0.09	9780
"other"	"68 (0.7%)"	996186	0.07	9780
"tits"	"54 (0.6%)"	996186	0.05	9780
"thot"	"41 (0.4%)"	996186	0.04	9780
"bullshit"	"37 (0.4%)"	996186	0.04	9780
"piss"	"33 (0.3%)"	996186	0.03	9780
"balls"	"31 (0.3%)"	996186	0.03	9780
"cock"	"31 (0.3%)"	996186	0.03	9780
"cum"	"16 (0.2%)"	996186	0.02	9780
"whore"	"15 (0.2%)"	996186	0.02	9780
"coochie"	"14 (0.1%)"	996186	0.01	9780
"clit"	"12 (0.1%)"	996186	0.01	9780
"retard"	"11 (0.1%)"	996186	0.01	9780
